Event	ID	Name			Wwise Object Path	Notes
	120976108	Ambient_Torch			\Ambient\SoundBankSpecific\Ambient_Torch	
	630311347	Object_ActivateKey_Failed			\Objects\SoundBankSpecific\Object_ActivateKey_Failed	
	1205412814	Ambient_Core_HorribleSound			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_HorribleSound	
	1342629461	Ambient_Core_FinalReveal			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_FinalReveal	
	1378810117	Ambient_Core_Shield_1			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_1	
	1378810118	Ambient_Core_Shield_2			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_2	
	1378810119	Ambient_Core_Shield_3			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_3	
	1389069565	Ambient_Core_Shield_Destroyed			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_Destroyed	
	1499503781	Object_ActivateKey_Success			\Objects\SoundBankSpecific\Object_ActivateKey_Success	
	1615265847	Ambient_Core_Shield_Alive			\Ambient\SoundBankSpecific\Dungeon\Core\Ambient_Core_Shield_Alive	
	1795559212	Object_Coin_Drop			\Objects\SoundBankSpecific\Object_Coin_Drop	
	1999886838	Destruction_Rock_Destroy			\Destruction\RegionSpecific\Destruction_Rock_Destroy	
	2379298625	Door_DLCdoor_Open_Stop			\Objects\SoundBankSpecific\Door_DLCdoor_Open_Stop	
	3556635307	Door_DLCdoor_Open_Play			\Objects\SoundBankSpecific\Door_DLCdoor_Open_Play	
	4077685701	Ambient_Region_Dungeon			\Ambient\SoundBankSpecific\Ambient_Region_Dungeon	
	4275106484	Ambient_Lava			\Ambient\SoundBankSpecific\Dungeon\Ambient_Lava	

State Group	ID	Name			Wwise Object Path	Notes
	3556213387	SpatialAudio			\Default Work Unit\SpatialAudio	

State	ID	Name	State Group			Notes
	748895195	None	SpatialAudio			
	3248502869	Disabled	SpatialAudio			
	4174102348	Enabled	SpatialAudio			

Custom State	ID	Name	State Group	Owner		Notes
	351643349	Enabled	SpatialAudio	\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Emitters\Ambient_Lava		

Game Parameter	ID	Name			Wwise Object Path	Notes
	762020526	Distance_to_Camera			\Generic\Distance_to_Camera	

Metadata plug-ins	ID	Name	Type				Notes
	1309482125	Same_As_PassthroughMix	Wwise System Output Settings			
	2198414564	Same_As_MainMix	Wwise System Output Settings			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	9581397	Player_Footstep_dirt_walk_01	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_walk_01_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_walk\Player_Footstep_dirt_walk_01		47220
	25679830	DLC_ActivateKey_Success	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Interface\BAS_DLC_ActivateKey_Success_16D20EBA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Props\Props\DLC_Key\DLC_ActivateKey_Success		15843
	76336562	CoinRoom_End	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Objects\BAS_TempleDoor_Open_F4E9007A.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Objects\Objects\Object_Props\Doors\CoinRoom_End		22125
	125579260	Ambient_Core_Shield_Outer	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Ambient\Ambient_Background\BAS_amb_shield_core_LP_01_ADBE6C02.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Outer		43709
	177438976	Player_Footstep_stone_walk_03	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_03_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_03		48070
	222577091	Ambient_Core_Shield_Destroyed	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Cinematic\BAS_CIN_PinkShield_After_Loop_1B0E4128.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Destroyed		104859
	229536716	Player_Footstep_wood_run_02	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_wood_run_02_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Wood\Player_Footstep_wood_run\Player_Footstep_wood_run_02		13896
	269405603	Ambient_Core_Shield_Middle	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Ambient\Ambient_Background\BAS_amb_shield_core_LP_02_ADBE6C02.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Middle		31834
	283455833	Ambient_Core_Shield_Alive	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Cinematic\BAS_CIN_PinkShield_Before_Loop_CE817C64.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Core_Shields\Ambient_Core_Shield_Alive		93783
	292435902	Player_Footstep_stone_walk_06	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_stone_walk_06_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Stone\Player_Footstep_stone_walk\Player_Footstep_stone_walk_06		47032
	339750059	Player_Footstep_dirt_run_01	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_dirt_run_01_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Dirt\Player_Footstep_dirt_run\Player_Footstep_dirt_run_01		26756
	356985616	Player_Footstep_wood_walk_03	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Character\Footsteps\BAS_Player_Footstep_wood_walk_03_8374BCAA.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Player\Player\Movement\Footstep_Surface\Player_Footstep_Wood\Player_Footstep_wood_walk\Player_Footstep_wood_walk_03		34906
	357036992	Creature_FinalReveal	D:\Students\Andrew Cross\Wwise301\AdventureGame\Wwise Project\.cache\Windows\SFX\Cinematic\BAS_CIN_Creature_FinalReveal_1B0E4128.wem		\Actor-Mixer Hierarchy\Default Work Unit\World\Ambient\Ambiences\Ambiences_Emitters\Cinematic\Creature_FinalReveal		72737
